seed,car_best,proc_on_carotid
1,1.0,1.0
2,1.0,0.0
3,1.0,0.0
8,1.0,0.0
10,1.0,0.0
16,1.0,1.0
18,1.0,1.0
21,1.0,0.0
23,0.75,0.0
31,1.0,1.0
34,1.0,1.0
37,1.0,0.0
39,1.0,0.0
43,1.0,0.0
44,1.0,1.0
47,1.0,0.0
48,1.0,0.0
50,1.0,1.0
55,0.25,0.0
63,1.0,1.0
69,1.0,0.0
70,1.0,0.0
73,1.0,0.0
80,1.0,1.0
81,1.0,0.0
89,1.0,1.0
91,1.0,0.0
93,1.0,0.0
97,1.0,1.0
108,1.0,1.0
110,1.0,1.0
115,1.0,0.0
118,1.0,1.0
120,1.0,1.0
122,1.0,1.0
124,1.0,1.0
134,0.75,0.0
138,1.0,1.0
139,1.0,0.0
140,1.0,0.0
148,1.0,0.0
154,1.0,0.0
155,1.0,1.0
161,1.0,0.0
162,1.0,0.0
167,1.0,0.0
171,1.0,1.0
